,text,sentiment
3225," I had to look at it 3 times before it sunk in, totally shocked by it  tbh.",negative
3531, I know what you mean. My little dog is sinking into depression... he wants to move someplace tropical,negative
1007,trying to learn to tweet!!  it`s all good I hope..,positive
770,i so wish i could get pregnant!!,positive
1287, I wish I could have time for my xbox  project all tied,positive
2893,bye LA... I already miss you,negative
454,just left & already misses Nashville  be back sunday,negative
3427, mine too,neutral
2684,"****, I Burned My legs  !x",negative
3186, me too. ****.,negative
2470,"Hour til lunch, can`t wait. Ima go to Mcd`s",neutral
1163,"Everyone At My Place Tomorrow  Bonfire, Tofu Dogs, And Austin Powers.",neutral
1949, Nooooo!!!!! Dont You Dare! Lol =( Im Gonna Cry  I <3 Your Hair!,neutral
1299,Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a **** night,positive
1557, lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,negative
378, Why thank you... Us Mami`s are bringin` sexy back...,positive
1529, Weird! Maybe all the updates just aren`t being sent to my phone  Haha,negative
3125,"I`m off to bed. Head just won`t stop giving me pain. ahgg.. Let this sinus, allergy, whatever you are be over tomorrow! Sogni D`oro",negative
252," I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",neutral
1261, I`m very much in tune with your words today. Thanks.,positive
3503,  yay thanku! *hugs*,positive
237," Hi Simon, let me know when it`s done",neutral
3221,"Going to group therapy session, can`t wait to spill my guts... Ha ha ha",neutral
8, and within a short time of the last clue all of them,neutral
615," I know, but work is so boring. I prefer the  take on life",negative
1802,"_ According to Mick Jagger, Hindu Ragas are more sfs sort of music",neutral
486, no other reason? I wonder if she loves you,positive
429, one of our governors is one of the directors of the company,neutral
2369, awe,neutral
1041, I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.,neutral
640,noooooooo...another headache...hopefully not a migraine,neutral
343,Lol..2 people in falcon..and boo one of them being becca,neutral
752,CAPONES island in 2 days!!! my summer is just starting...,neutral
416," lol that just totally made me laugh, which made my day",positive
2621,"First surprise birthday ever, best night I`ve had in a **** long time!",neutral
2902," unfortunatly, just about to start making my way home  but via Singapore for a gig too, so fun ain`t over  just yet ;)",neutral
